Date,High,Low,Open,Close,Volume,Adj Close,ClosePrice,Fast10DayEMA,Slow40DayEMA,APO,Trades,Position,Pnl
2013-12-31,558.406982421875,551.064453125,554.0433349609375,558.2625122070312,2725900.0,558.2625122070312,558.2625122070312,558.2625122070312,558.2625122070312,0.0,0,0,0.0
2014-01-02,556.7880249023438,552.0607299804688,555.6472778320312,554.481689453125,3656400.0,554.481689453125,554.481689453125,557.5750898881392,558.0780818287919,-0.5029919406526915,0,0,0.0
2014-01-03,556.3795776367188,550.4019775390625,555.4181518554688,550.4368286132812,3345800.0,550.4368286132812,550.4368286132812,556.2772242018015,557.7053377694988,-1.4281135676973236,0,0,0.0
2014-01-06,557.3409423828125,551.1541137695312,554.4268798828125,556.5738525390625,3551800.0,556.5738525390625,556.5738525390625,556.331156626758,557.6501433680141,-1.3189867412561398,0,0,0.0
2014-01-07,567.717041015625,558.4866333007812,560.3994750976562,567.3035888671875,5124300.0,567.3035888671875,567.3035888671875,558.3261443068361,558.1210431484616,0.20510115837453213,0,0,0.0
2014-01-08,571.517822265625,564.5289916992188,570.8602905273438,568.4841918945312,4501700.0,568.4841918945312,568.4841918945312,560.1730620500534,558.6265625994894,1.5464994505640561,0,0,0.0
2014-01-09,569.9735717773438,560.678466796875,569.5850830078125,563.0097045898438,4184500.0,563.0097045898438,563.0097045898438,560.6888152391062,558.8403744038969,1.848440835209317,0,0,0.0
2014-01-10,567.4132080078125,559.0296020507812,567.4132080078125,562.9797973632812,4302900.0,562.9797973632812,562.9797973632812,561.1053574435017,559.0422974750865,2.0630599684152457,0,0,0.0
2014-01-13,571.3135986328125,556.4990844726562,561.1317138671875,559.3932495117188,4855800.0,559.3932495117188,559.3932495117188,560.7940650922684,559.0594170866295,1.73464800563886,0,0,0.0
2014-01-14,573.3509521484375,561.938720703125,566.8502807617188,572.553955078125,4983700.0,572.553955078125,572.553955078125,562.9322269078787,559.7176872325562,3.2145396753224986,0,0,0.0
2014-01-15,575.3434448242188,569.7593994140625,574.3422241210938,572.1654052734375,3915000.0,572.1654052734375,572.1654052734375,564.6109866107075,560.324892990648,4.286093620059546,0,0,0.0
2014-01-16,576.802978515625,571.8565673828125,572.4044799804688,575.951171875,3380300.0,575.951171875,575.951171875,566.6728384769425,561.0871504972017,5.585687979740783,0,0,0.0
2014-01-17,578.14794921875,569.963623046875,576.2650146484375,573.1168212890625,5422800.0,573.1168212890625,573.1168212890625,567.8444717155098,561.6739637065608,6.170508008949014,0,0,0.0
2014-01-21,579.82666015625,573.5003662109375,578.2974243164062,579.67724609375,3974500.0,579.67724609375,579.67724609375,569.9958852388262,562.5521726034968,7.443712635329348,0,0,0.0
2014-01-22,581.764404296875,577.2662353515625,581.1267700195312,580.3347778320312,3154500.0,580.3347778320312,580.3347778320312,571.8756838921362,563.4196167609863,8.456067131149894,0,0,0.0
2014-01-23,579.074462890625,575.0296630859375,577.8341064453125,577.8839721679688,3912700.0,577.8839721679688,577.8839721679688,572.9680999422876,564.125195073522,8.842904868765572,0,0,0.0
2014-01-24,574.6211547851562,559.4031982421875,573.3558959960938,559.816650390625,7814000.0,559.816650390625,559.816650390625,570.5769272965308,563.9150221621612,6.66190513436959,0,0,0.0
2014-01-27,561.1466674804688,539.1142578125,560.9474487304688,548.558837890625,8739800.0,548.558837890625,548.558837890625,566.5736383136389,563.1659400025741,3.4076983110647916,0,0,0.0
2014-01-28,560.7730712890625,552.8975830078125,553.0869140625,559.408203125,4436900.0,559.408203125,559.408203125,565.2708319157045,562.9826357646436,2.2881961510609017,0,0,0.0
2014-01-29,558.7805786132812,547.6572265625,557.470458984375,551.3932495117188,4777500.0,551.3932495117188,551.3932495117188,562.7476351149799,562.4172998498668,0.33033526511303535,0,0,0.0
2014-01-30,574.0931396484375,561.520263671875,570.3621215820312,565.5750732421875,10220800.0,565.5750732421875,565.5750732421875,563.2617147744721,562.5713375763215,0.6903771981505997,0,0,0.0
2014-01-31,591.0545654296875,573.4157104492188,583.4879150390625,588.2799682617188,11174200.0,588.2799682617188,588.2799682617188,567.8104881357897,563.8254171219506,3.985071013839047,0,0,0.0
2014-02-03,588.653564453125,563.8914184570312,587.3983154296875,564.5987548828125,9172400.0,564.5987548828125,564.5987548828125,567.2265366352484,563.8631409151634,3.363395720085009,0,0,0.0
2014-02-04,575.3434448242188,566.382080078125,566.8702392578125,566.9548950195312,5644800.0,566.9548950195312,566.9548950195312,567.1771472505726,564.0139581885472,3.163189062025367,0,0,0.0
2014-02-05,573.2363891601562,561.9038696289062,569.55517578125,569.4655151367188,4806800.0,569.4655151367188,569.4655151367188,567.5932141389628,564.2798877957752,3.3133263431876685,0,0,0.0
